Account,date,daily_pnl,total_volume,trade_count,win_rate,avg_trade_size,long_ratio,value,classification,sentiment_regime,size_segment,freq_segment,is_profitable
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,2089293.6099999999,1016.0,0.8208661417322834,2056.3913484251966,0.5364173228346457,74,Greed,Greed,Low,Medium,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,11383531.66,4885.0,0.7985670419651996,2330.3033080859777,0.47512794268167863,44,Fear,Fear,Medium,High,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,5661783.44,1554.0,0.4510939510939511,3643.361287001287,0.4420849420849421,44,Fear,Fear,Medium,Medium,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,34998.799999999996,15.0,0.0,2333.253333333333,1.0,74,Greed,Greed,Medium,Low,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,6875178.279999999,3056.0,0.28763089005235604,2249.7311125654446,0.32035340314136124,44,Fear,Fear,Medium,High,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000026,50397.38,54.0,0.037037037037037035,933.2848148148148,0.8703703703703703,74,Greed,Greed,Low,Low,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958000006,11629308.630000003,1802.0,0.3401775804661487,6453.556398446172,0.5943396226415094,44,Fear,Fear,High,Medium,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157324999995,2942740.7,3810.0,0.32545931758530183,772.3728871391077,0.4477690288713911,50,Neutral,Neutral,Low,High,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.377909999996,2483772.71,1804.0,0.32427937915742794,1376.8141407982262,0.3464523281596452,74,Greed,Greed,Low,Medium,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187000005,3688147.16,5602.0,0.30739021777936454,658.3625776508391,0.4378793288111389,44,Fear,Fear,Low,High,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326000001,2125807.7800000003,724.0,0.07596685082872928,2936.1985911602214,0.8867403314917127,74,Greed,Greed,Medium,Medium,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,7134710.200000001,2080.0,0.3903846153846154,3430.1491346153853,0.5855769230769231,44,Fear,Fear,Medium,High,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,6889828.6,4211.0,0.418665400142484,1636.15022559962,0.56946093564474,74,Greed,Greed,Low,High,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,10738173.13,9274.0,0.32003450506793185,1157.8793541082598,0.6609877075695493,44,Fear,Fear,Low,High,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,307215.74000000005,39.0,0.0,7877.326666666668,0.7948717948717948,50,Neutral,Neutral,High,Low,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,476629.33,283.0,0.5477031802120141,1684.2025795053005,0.4416961130742049,74,Greed,Greed,Low,Medium,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,77964.33,95.0,0.8842105263157894,820.6771578947369,0.0,44,Fear,Fear,Low,Low,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,643594.44,190.0,0.5526315789473685,3387.3391578947367,0.4421052631578947,74,Greed,Greed,Medium,Low,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449000001,559278.3,182.0,0.2692307692307692,3072.9576923076925,0.7307692307692307,44,Fear,Fear,Medium,Low,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,16766.37,9.0,0.2222222222222222,1862.9299999999998,0.7777777777777778,74,Greed,Greed,Low,Low,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,4431556.890000001,525.0,0.3238095238095238,8441.060742857144,0.5657142857142857,44,Fear,Fear,High,Medium,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335700000096,11509295.889999999,1043.0,0.2751677852348993,11034.799511025885,0.46883988494726747,69,Greed,Greed,High,Medium,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.894755999998,23499792.29,3076.0,0.21879063719115735,7639.724411573472,0.49187256176853056,84,Extreme Greed,Extreme Greed,High,High,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,4723983.0,1643.0,0.20998174071819842,2875.2178940961658,0.6202069385270846,50,Neutral,Neutral,Medium,Medium,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,2746705.92,1268.0,0.5670347003154574,2166.171861198738,0.1167192429022082,74,Greed,Greed,Medium,Medium,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,13421173.84,7380.0,0.3910569105691057,1818.587241192412,0.4711382113821138,44,Fear,Fear,Low,High,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,108877041.10000001,4838.0,0.4386109962794543,22504.5558288549,0.48945845390657294,44,Fear,Fear,High,High,1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.2126819999,68036326.2,21190.0,0.46753185464841907,3210.7751864086836,0.5283152430391694,44,Fear,Fear,Medium,High,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,727783.42,267.0,0.15355805243445692,2725.7805992509366,0.18352059925093633,74,Greed,Greed,Medium,Medium,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,17917884.11,2211.0,0.3722297602894618,8103.972912709181,0.4767073722297603,44,Fear,Fear,High,High,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,26617723.76,9883.0,0.5692603460487706,2693.2837964180917,0.3128604674693919,74,Greed,Greed,Medium,High,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,41437969.8,26651.0,0.3848636073693295,1554.8373344339798,0.4715770515177667,44,Fear,Fear,Low,High,1
