Account,date,daily_pnl,total_volume,trade_count,win_rate,avg_trade_size,long_ratio,fee_sum,fee_avg,crossed_ratio,value,classification,sentiment_regime,size_segment,freq_segment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419000002,11184217.49,3041.0,0.8240710292666886,3677.8091055573827,0.4633344294639921,405.408361,0.13331416014468925,0.1992765537652088,84,Extreme Greed,Extreme Greed,Mid-Size,Frequent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,209.5,6.0,0.16666666666666666,34.916666666666664,0.5,0.047002999999999996,0.007833833333333333,0.6666666666666666,50,Neutral,Neutral,Low-Size,Infrequent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,2089293.6099999999,1016.0,0.8208661417322834,2056.3913484251966,0.5364173228346457,292.90635568,0.2882936571653543,0.23031496062992127,74,Greed,Greed,Low-Size,Normal
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,11383531.66,4885.0,0.7985670419651996,2330.3033080859777,0.47512794268167863,1739.321652,0.3560535623336745,0.368474923234391,44,Fear,Fear,Mid-Size,Frequent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,5661783.44,1554.0,0.4510939510939511,3643.361287001287,0.4420849420849421,771.0818549600001,0.49619166985842994,0.09588159588159588,44,Fear,Fear,Mid-Size,Normal
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,34998.799999999996,15.0,0.0,2333.253333333333,1.0,0.12958992,0.008639328,0.0,74,Greed,Greed,Mid-Size,Infrequent
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,6875178.279999999,3056.0,0.28763089005235604,2249.7311125654446,0.32035340314136124,884.1886149999999,0.2893287352748691,0.09260471204188482,44,Fear,Fear,Mid-Size,Frequent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000026,50397.38,54.0,0.037037037037037035,933.2848148148148,0.8703703703703703,4.406872809999999,0.08160875574074072,0.6851851851851852,74,Greed,Greed,Low-Size,Infrequent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958000006,11629308.630000003,1802.0,0.3401775804661487,6453.556398446172,0.5943396226415094,3297.2099173300003,1.829750231592675,0.9483906770255272,44,Fear,Fear,High-Size,Normal
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157324999995,2942740.7,3810.0,0.32545931758530183,772.3728871391077,0.4477690288713911,903.689727,0.23718890472440943,0.7503937007874015,50,Neutral,Neutral,Low-Size,Frequent
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.377909999996,2483772.71,1804.0,0.32427937915742794,1376.8141407982262,0.3464523281596452,810.39821607,0.44922295791019956,0.9262749445676275,74,Greed,Greed,Low-Size,Normal
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187000005,3688147.16,5602.0,0.30739021777936454,658.3625776508391,0.4378793288111389,1182.5227054,0.21108937975722955,0.9046769011067476,44,Fear,Fear,Low-Size,Frequent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326000001,2125807.7800000003,724.0,0.07596685082872928,2936.1985911602214,0.8867403314917127,157.16795171999996,0.21708280624309387,0.9834254143646409,74,Greed,Greed,Mid-Size,Normal
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,7134710.200000001,2080.0,0.3903846153846154,3430.1491346153853,0.5855769230769231,2058.64770854,0.9897344752596154,0.9004807692307693,44,Fear,Fear,Mid-Size,Frequent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,6889828.6,4211.0,0.418665400142484,1636.15022559962,0.56946093564474,481.711535,0.11439362028021847,0.08026597007836618,74,Greed,Greed,Low-Size,Frequent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,10738173.13,9274.0,0.32003450506793185,1157.8793541082598,0.6609877075695493,1635.555628,0.17635924390769894,0.1209833944360578,44,Fear,Fear,Low-Size,Frequent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,307215.74000000005,39.0,0.0,7877.326666666668,0.7948717948717948,138.24399527,3.5447178274358975,0.8717948717948718,50,Neutral,Neutral,High-Size,Infrequent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,476629.33,283.0,0.5477031802120141,1684.2025795053005,0.4416961130742049,29.20086424,0.10318326586572439,0.5159010600706714,74,Greed,Greed,Low-Size,Normal
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,77964.33,95.0,0.8842105263157894,820.6771578947369,0.0,22.493145,0.23676994736842102,0.7578947368421053,44,Fear,Fear,Low-Size,Infrequent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,643594.44,190.0,0.5526315789473685,3387.3391578947367,0.4421052631578947,201.36228461,1.0598014979473684,1.0,74,Greed,Greed,Mid-Size,Infrequent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449000001,559278.3,182.0,0.2692307692307692,3072.9576923076925,0.7307692307692307,187.91734599999995,1.03251289010989,1.0,44,Fear,Fear,Mid-Size,Infrequent
